iter	RMSE
138	4.995692044
139	4.990626185
140	4.987677409
141	4.982722955
142	4.980273218
143	4.977032142
144	4.972180384
145	4.969630255
146	4.96585005
147	4.961827099
148	4.957964707
149	4.950949668
150	4.945397234
151	4.942442785
152	4.939270798
153	4.935744245
154	4.928231946
155	4.92096493
156	4.915918457
157	4.909752764
158	4.90374854
159	4.897936627
160	4.894010931
161	4.889887769
162	4.882059267
163	4.877666302
164	4.872409859
165	4.865246194
166	4.861684779
167	4.858963888
168	4.850648462
169	4.845947839
170	4.843479166
171	4.840090406
172	4.833969218
173	4.830816263
174	4.825778733
175	4.821682384
176	4.814500293
177	4.812907361
178	4.809979638
179	4.804761843
180	4.803318465
181	4.797944392
182	4.792561594
183	4.788208351
184	4.786245147
185	4.783602188
186	4.778627679
187	4.7758708
188	4.77207191
189	4.768637149
190	4.763675166
191	4.76079906
192	4.755590137
193	4.750422153
194	4.74267516
195	4.738672364
196	4.734861735
197	4.730900186
198	4.728532285
199	4.725517564
200	4.723100989
201	4.721836999
202	4.719226125
203	4.715415114
204	4.710402746
205	4.705134382
206	4.703861173
207	4.699206141
208	4.692109088
209	4.68967115
210	4.686619314
211	4.68201541
212	4.678156307
213	4.674897122
214	4.673681753
215	4.669472476
216	4.668340638
217	4.666898633
218	4.663175169
219	4.661119263
220	4.655317228
221	4.652439578
222	4.646666459
223	4.642581746
224	4.638745151
225	4.63567504
226	4.634669065
227	4.631293952
228	4.626731311
229	4.622377242
230	4.617688172
231	4.613552988
232	4.609137285
233	4.604706697
234	4.600873845
235	4.597215271
236	4.592635359
237	4.586635
238	4.580241212
239	4.577031176
240	4.574737678
241	4.571213364
242	4.570013757
243	4.566033261
244	4.563332822
245	4.557454077
246	4.552500792
247	4.551343596
248	4.550219167
249	4.546423489
250	4.542687741
251	4.537593839
252	4.533668191
253	4.529588153
254	4.526966383
255	4.52354585
256	4.520866823
257	4.517998393
258	4.514574719
259	4.509494863
260	4.504845333
261	4.501762856
262	4.496751418
263	4.495702823
264	4.493147165
265	4.490808336
266	4.48593196
267	4.481462123
268	4.481066723
269	4.475746899
270	4.471736113
271	4.47073602
272	4.465491646
273	4.463256959
274	4.461342861
275	4.45716296
276	4.450669422
277	4.448546899
278	4.44529523
279	4.444919895
280	4.442465652
281	4.437841693
282	4.434036955
283	4.431087905
284	4.430721545
285	4.424321558
286	4.420926442
287	4.417749375
288	4.417400821
289	4.414167007
290	4.409909482
291	4.406490968
292	4.402460136
293	4.396353313
294	4.390625001
295	4.386324167
296	4.384296122
297	4.381784738
298	4.376267751
299	4.372641139
300	4.372280832
301	4.371944093
302	4.368838502
303	4.365936189
304	4.360238434
305	4.359911344
306	4.357652381
307	4.35244982
308	4.349030852
309	4.345714384
310	4.341317287
311	4.339162386
312	4.336097853
313	4.335370309
314	4.331181059
315	4.330849205
316	4.327242902
317	4.323956467
318	4.31892168
319	4.313899776
320	4.309848138
321	4.307892272
322	4.305864219
323	4.303785431
324	4.301320764
325	4.301008229
326	4.300702091
327	4.298687289
328	4.298386834
329	4.295212494
330	4.29491402
331	4.291873636
332	4.285512909
333	4.282870476
334	4.278871781
335	4.274527748
336	4.2713372
337	4.267838296
338	4.26486354
339	4.262958108
340	4.259325894
341	4.257961831
342	4.256149274
343	4.254937701
344	4.251731062
345	4.24805491
346	4.245033372
347	4.243311569
348	4.24130205
349	4.240133877
350	4.239844555
351	4.235131959
352	4.231632285
353	4.228764602
354	4.228485322
355	4.228221319
356	4.227955393
357	4.225573482
358	4.223593119
359	4.219527791
360	4.217418563
361	4.217151133
362	4.214384242
363	4.210906276
364	4.204225
365	4.200579761
366	4.198838218
367	4.195738937
368	4.189326717
369	4.189168063
370	4.185222284
371	4.185012396
372	4.182132762
373	4.177334155
374	4.177089229
375	4.174066751
376	4.170184415
377	4.164718897
378	4.160205074
379	4.157416472
380	4.152670944
381	4.148446633
382	4.145128042
383	4.144887872
384	4.144249462
385	4.141893495
386	4.139200369
387	4.136708395
388	4.136054284
389	4.13437489
390	4.132120331
391	4.129686188
392	4.129538148
393	4.129298088
394	4.126539525
395	4.124762192
396	4.122318189
397	4.11865317
398	4.116030019
399	4.112875692
400	4.112158327
401	4.111575458
402	4.106325941
403	4.104617062
404	4.100895183
405	4.097962519
406	4.097402115
407	4.092759433
408	4.091035988
409	4.086247242
410	4.081897025
411	4.08066936
412	4.077109235
413	4.074078803
414	4.07191756
415	4.068408267
416	4.06439739
417	4.062167814
418	4.059897196
419	4.05787019
420	4.054962233
421	4.053697022
422	4.051851427
423	4.048466109
424	4.046384255
425	4.043280818
426	4.039748735
427	4.038840819
428	4.037680663
429	4.036652078
430	4.034863137
431	4.032861632
432	4.029464324
433	4.025025925
434	4.021541476
435	4.018230435
436	4.013959554
437	4.010950022
438	4.01073642
439	4.007175718
440	4.002872881
441	4.000434545
442	3.996516547
443	3.991612403
444	3.990087635
445	3.988474205
446	3.986058063
447	3.981501444
448	3.978579251
449	3.976674661
450	3.976472834
451	3.973728765
452	3.970189133
453	3.969074805
454	3.967680975
455	3.965135181
456	3.961468437
457	3.956839571
458	3.954604641
459	3.954117456
460	3.952553642
461	3.949973103
462	3.946245916
463	3.942635958
464	3.940077626
465	3.939877236
466	3.937511652
467	3.935983619
468	3.930038076
469	3.929931851
470	3.925145807
471	3.922800959
472	3.920969083
473	3.920871636
474	3.916317913
475	3.91559877
476	3.910856835
477	3.908488914
478	3.907377696
479	3.906565202
480	3.906378538
481	3.90486387
482	3.903722571
483	3.897661693
484	3.893829546
485	3.890731253
486	3.88732489
487	3.883508156
488	3.880720657
489	3.875705142
490	3.874405502
491	3.874224373
492	3.874047029
493	3.872528581
494	3.868779366
495	3.868685975
496	3.865036762
497	3.863340131
498	3.859942708
499	3.858011496
500	3.853168521
501	3.850483341
502	3.847537634
503	3.844083968
504	3.842527025
505	3.839912184
506	3.83852245
507	3.8363177
508	3.836233546
509	3.831236357
510	3.827153517
511	3.823580529
512	3.821293835
513	3.81755342
514	3.814176025
515	3.810736493
516	3.808602581
517	3.805691829
518	3.802824004
519	3.801001193
520	3.799358627
521	3.79617194
522	3.792927412
523	3.79183679
524	3.788963965
525	3.783649221
526	3.780715424
527	3.776481736
528	3.77387291
529	3.770029484
530	3.767385386
531	3.76722031
532	3.765633165
533	3.76554028
534	3.765372065
535	3.762504813
536	3.760891751
537	3.760627149
538	3.760464409
539	3.757770539
540	3.753891594
541	3.749900759
542	3.748171505
543	3.74587431
544	3.743965575
545	3.742666636
546	3.740239282
547	3.739666457
548	3.736244058
549	3.734577711
550	3.730678553
551	3.726608421
552	3.724907022
553	3.723576777
554	3.721101663
555	3.720226526
556	3.715432618
557	3.713133743
558	3.71009996
559	3.706600656
560	3.705564984
561	3.701976985
562	3.698568353
563	3.696693415
564	3.696608116
565	3.693858747
566	3.691056714
567	3.690261703
568	3.688496911
569	3.686349976
570	3.683925681
571	3.682557296
572	3.681049709
573	3.677185997
574	3.677111379
575	3.675798356
576	3.674198783
577	3.671808217
578	3.670458203
579	3.669874615
580	3.669780902
581	3.668372259
582	3.667876089
583	3.666860874
584	3.66678178
585	3.666640996
586	3.665233986
587	3.661744173
588	3.658701887
589	3.656055391
590	3.654639316
591	3.65366807
592	3.648663228
593	3.645688986
594	3.642064541
595	3.641412953
596	3.639902679
597	3.637699819
598	3.634915445
599	3.633598578
600	3.632191451
601	3.631863378
602	3.630765739
603	3.628798397
604	3.626332819
605	3.623360905
606	3.620481405
607	3.618199371
608	3.616257636
609	3.614190555
610	3.611777297
611	3.607445903
612	3.606904705
613	3.604560798
614	3.599601596
615	3.59662555
616	3.593640553
617	3.593092258
618	3.592970204
619	3.591050113
620	3.589946022
621	3.58681941
622	3.584642292
623	3.583395263
624	3.580446934
625	3.57808206
626	3.577070759
627	3.574393985
628	3.570498503
629	3.568396872
630	3.565670451
631	3.564467195
632	3.563047031
633	3.561935472
634	3.55929121
635	3.557187474
636	3.553796078
637	3.553297567
638	3.552283405
639	3.547849926
640	3.545384373
641	3.543337692
642	3.540849346
643	3.538193082
644	3.5356885
645	3.533504564
646	3.530275222
647	3.530134976
648	3.527530145
649	3.524235741
650	3.521782746
651	3.52039669
652	3.518115824
653	3.514831167
654	3.513253314
655	3.512790376
656	3.511169486
657	3.508737572
658	3.504696694
659	3.50434543
660	3.502871443
661	3.499166756
662	3.494265488
663	3.493027825
664	3.492898193
665	3.491751803
666	3.489895839
667	3.489809816
668	3.489372799
669	3.488018208
670	3.487119429
671	3.486990793
672	3.48522549
673	3.48432551
674	3.481553204
675	3.480545003
676	3.480479122
677	3.477529713
678	3.473569051
679	3.469799369
680	3.469672686
681	3.468844558
682	3.468555518
683	3.467534507
684	3.467107934
685	3.46538263
686	3.463204456
687	3.461393086
688	3.459637991
689	3.458062624
690	3.455999273
691	3.455934938
692	3.453502968
693	3.453388625
694	3.452074705
695	3.451471263
696	3.448918375
697	3.448550102
698	3.44663875
699	3.446146756
700	3.443160499
701	3.442422376
702	3.439676916
703	3.437220343
704	3.436266128
705	3.436166841
706	3.43460398
707	3.434413199
708	3.433949776
709	3.432089938
710	3.4297748
711	3.428826975
712	3.426790932
713	3.426515912
714	3.424514566
715	3.424461225
716	3.424097307
717	3.421811788
718	3.419202421
719	3.416702332
720	3.41570935
721	3.413836906
722	3.411103225
723	3.408615993
724	3.407447166
725	3.406086131
726	3.406035107
727	3.404204095
728	3.401494072
729	3.399798238
730	3.396893719
731	3.395485323
732	3.393780225
733	3.391475487
734	3.390493052
735	3.388467645
736	3.386824018
737	3.383879352
738	3.383039992
739	3.38159722
740	3.378461792
741	3.374867894
742	3.372728866
743	3.370458449
744	3.369295078
745	3.368986383
746	3.368249828
747	3.367182556
748	3.36513448
749	3.363666227
750	3.363616478
751	3.361328184
752	3.358858189
753	3.356855857
754	3.355152136
755	3.352272687
756	3.349973563
757	3.349824768
758	3.347445534
759	3.347119704
760	3.345667485
761	3.343041986
762	3.342353964
763	3.341582318
764	3.341533243
765	3.340099832
766	3.336694052
767	3.333942812
768	3.333109034
769	3.33105589
770	3.330959318
771	3.329350192
772	3.329244827
773	3.32804457
774	3.327618865
775	3.326077843
776	3.323045656
777	3.320689172
778	3.31834473
779	3.314446959
780	3.313485251
781	3.312620688
782	3.312525818
783	3.311690083
784	3.309203989
785	3.307218484
786	3.304795517
787	3.302893809
788	3.302800493
789	3.301701856
790	3.29984175
791	3.299160478
792	3.296286888
793	3.295475877
794	3.294618942
795	3.294450398
796	3.293706195
797	3.293621576
798	3.291487433
799	3.28895567
800	3.288645387
801	3.288606014
802	3.286726619
803	3.284243315
804	3.283160265
805	3.283071227
806	3.281168173
807	3.278947075
808	3.277392128
809	3.274683098
810	3.273837135
811	3.269943838
812	3.267689533
813	3.267048615
814	3.263949435
815	3.262767902
816	3.262687262
817	3.261703859
818	3.258863855
819	3.258125416
820	3.255588802
821	3.254507476
822	3.2533011
823	3.252983709
824	3.252726004
825	3.251473966
826	3.250725314
827	3.250217683
828	3.248886081
829	3.247295538
830	3.247133289
831	3.246009519
832	3.245932905
833	3.244881779
834	3.244814371
835	3.243322554
836	3.242482378
837	3.24240579
838	3.239524419
839	3.237157799
840	3.23487736
841	3.234496996
842	3.234370821
843	3.232142439
844	3.230814486
845	3.229605713
846	3.229472737
847	3.228638621
848	3.226891147
849	3.225137309
850	3.222154428
851	3.220967762
852	3.219517623
853	3.218875823
854	3.217306481
855	3.21548486
856	3.21446107
857	3.212636718
858	3.210829874
859	3.209533269
860	3.207186538
861	3.204296379
862	3.203931337
863	3.203318364
864	3.203247804
865	3.201613975
866	3.200512412
867	3.200366046
868	3.198210543
869	3.197158578
870	3.195699551
871	3.193678277
872	3.192893069
873	3.19106263
874	3.188962248
875	3.186884214
876	3.183886158
877	3.181030011
878	3.178197202
879	3.176830848
880	3.176814463
881	3.175809589
882	3.174883629
883	3.171034948
884	3.170001328
885	3.168648451
886	3.16716287
887	3.166854448
888	3.164176763
889	3.1617401
890	3.160684249
891	3.15894175
892	3.157699172
893	3.155081702
894	3.154766988
895	3.152867792
896	3.152800363
897	3.151380262
898	3.149752769
899	3.149682236
900	3.149607127
901	3.148526664
902	3.148486588
903	3.14798433
904	3.145858409
905	3.145342515
906	3.142570041
907	3.140385826
908	3.137924697
909	3.137531125
910	3.137500966
911	3.136362684
912	3.135683682
913	3.134607271
914	3.13366966
915	3.131581222
916	3.131084133
917	3.129581509
918	3.129169325
919	3.128274364
920	3.128212004
921	3.127509859
922	3.125360415
923	3.124466384
924	3.123057783
925	3.122008709
926	3.121961197
927	3.121114379
928	3.118288653
929	3.118162716
930	3.117112515
931	3.115194483
932	3.113190715
933	3.111626522
934	3.108901813
935	3.108847137
936	3.108809717
937	3.108256117
938	3.10706001
939	3.106841209
940	3.105876842
941	3.104794731
942	3.103928
943	3.102302943
944	3.100829908
945	3.099226514
946	3.098476436
947	3.097755668
948	3.095627511
949	3.094031863
950	3.093776574
951	3.092405855
952	3.091143378
953	3.090011333
954	3.087949959
955	3.086241776
956	3.086173594
957	3.084900762
958	3.082183865
959	3.081070572
960	3.079099095
961	3.075358703
962	3.072922948
963	3.072181977
964	3.06954925
965	3.066925962
966	3.066077216
967	3.063586879
968	3.062768276
969	3.061810633
970	3.060977609
971	3.060831777
972	3.059037243
973	3.058272257
974	3.057502004
975	3.056037299
976	3.05549041
977	3.05510939
978	3.055078106
979	3.053264959
980	3.052673898
981	3.052513597
982	3.052381661
983	3.051000301
984	3.049068338
985	3.047619584
986	3.046084278
987	3.044633502
988	3.043673414
989	3.042328645
990	3.039717845
991	3.038869747
992	3.037919006
993	3.037092624
994	3.036628784
995	3.034026692
996	3.034001777
997	3.033228427
998	3.032061575
999	3.031694197
